Episode,Reward,Epsilon
408,-10.20,0.88478
409,-10.10,0.88451
410,-10.00,0.88425
411,-11.80,0.88398
412,-11.40,0.88372
413,-10.10,0.88345
414,-10.60,0.88319
415,-10.00,0.88292
416,-10.00,0.88266
417,-11.10,0.88239
418,-10.30,0.88213
419,-10.10,0.88186
420,-10.20,0.88160
421,-10.40,0.88133
422,-10.40,0.88107
423,-20.30,0.88080
424,-12.20,0.88054
425,-13.50,0.88028
426,-10.10,0.88001
427,-10.00,0.87975
428,-10.10,0.87948
429,-10.20,0.87922
430,-10.10,0.87896
431,-16.90,0.87869
432,-17.10,0.87843
433,-11.90,0.87817
434,-21.80,0.87790
435,-10.40,0.87764
436,-10.80,0.87738
437,-10.40,0.87711
438,-10.30,0.87685
439,-10.60,0.87659
440,-15.10,0.87632
441,-10.70,0.87606
442,-10.20,0.87580
443,-10.00,0.87554
444,-10.10,0.87527
445,-10.00,0.87501
446,-10.70,0.87475
447,-11.00,0.87449
448,-10.20,0.87422
449,-10.40,0.87396
450,-11.40,0.87370
451,-10.20,0.87344
452,-10.20,0.87317
453,-10.00,0.87291
454,-10.10,0.87265
455,-10.10,0.87239
456,-19.10,0.87213
457,-10.00,0.87187
458,-11.40,0.87160
459,-11.60,0.87134
460,-10.20,0.87108
461,-14.80,0.87082
462,-16.20,0.87056
463,-17.80,0.87030
464,-14.00,0.87004
465,-10.10,0.86977
466,-10.40,0.86951
467,-11.70,0.86925
468,-11.70,0.86899
469,-10.00,0.86873
470,-12.80,0.86847
471,-10.00,0.86821
472,-10.20,0.86795
473,-10.10,0.86769
474,-23.10,0.86743
475,-10.20,0.86717
476,-10.20,0.86691
477,-10.00,0.86665
478,-15.10,0.86639
479,-20.60,0.86613
480,-10.00,0.86587
481,-13.50,0.86561
482,-10.00,0.86535
483,-10.00,0.86509
484,-16.40,0.86483
485,-10.10,0.86457
486,-22.20,0.86431
487,-3.90,0.86405
488,-10.00,0.86379
489,-10.10,0.86353
490,-10.00,0.86327
491,-10.50,0.86302
492,-2.40,0.86276
493,-10.70,0.86250
494,-10.00,0.86224
495,-10.00,0.86198
496,-10.10,0.86172
497,-10.00,0.86146
498,-10.00,0.86121
499,-10.10,0.86095
500,-11.50,0.86069
501,-13.00,0.86043
502,-16.30,0.86017
503,-11.00,0.85991
504,-10.10,0.85966
505,-10.10,0.85940
506,-10.20,0.85914
507,-10.00,0.85888
508,-11.50,0.85863
509,-10.40,0.85837
510,-10.70,0.85811
511,-10.40,0.85785
512,-10.90,0.85760
513,-12.30,0.85734
514,-10.00,0.85708
515,-10.10,0.85682
516,-10.50,0.85657
517,-10.00,0.85631
518,-12.10,0.85605
519,-13.00,0.85580
520,-10.00,0.85554
521,-10.10,0.85528
522,1.80,0.85503
523,-11.20,0.85477
524,-5.50,0.85451
525,-9.80,0.85426
526,-7.90,0.85400
527,-10.00,0.85374
528,-10.40,0.85349
529,-11.20,0.85323
530,-11.00,0.85298
531,-10.00,0.85272
532,-10.00,0.85246
533,-10.00,0.85221
534,-12.70,0.85195
535,-10.90,0.85170
536,-8.70,0.85144
537,-10.50,0.85119
538,-16.80,0.85093
539,-10.00,0.85068
540,-10.80,0.85042
541,-12.10,0.85017
542,-10.00,0.84991
543,-16.40,0.84966
544,-11.40,0.84940
545,-10.70,0.84915
546,-10.10,0.84889
547,-10.10,0.84864
548,-10.20,0.84838
549,-10.10,0.84813
550,-12.90,0.84787
551,-12.50,0.84762
552,-10.00,0.84736
553,-10.00,0.84711
554,-7.90,0.84686
555,-10.20,0.84660
556,-10.00,0.84635
557,5.50,0.84609
558,-11.60,0.84584
559,-11.90,0.84559
560,-10.30,0.84533
561,-10.30,0.84508
562,-10.30,0.84483
563,-10.70,0.84457
564,-10.20,0.84432
565,-4.20,0.84407
566,-10.10,0.84381
567,-7.90,0.84356
568,-14.40,0.84331
569,-12.70,0.84305
570,-10.00,0.84280
571,-13.00,0.84255
572,-11.70,0.84229
573,-11.50,0.84204
574,-10.50,0.84179
575,-10.00,0.84154
576,-10.00,0.84128
577,-11.20,0.84103
578,-10.70,0.84078
579,-10.30,0.84053
580,-10.00,0.84027
581,-15.40,0.84002
582,-10.70,0.83977
583,-10.90,0.83952
584,-17.70,0.83927
